holiday,temperature,rain_1h,snow_1h,clouds_percentage,population_density_categorical,time,Christmas Day,Columbus Day,Independence Day,Labor Day,Martin Luther King Jr Day,Memorial Day,New Years Day,None,State Fair,Thanksgiving Day,Veterans Day,Washingtons Birthday
None,278.44,0.0,0.0,1,very low,0,0,0,0,0,0,0,0,1,0,0,0,0
None,299.9,0.0,0.0,36,low,22,0,0,0,0,0,0,0,1,0,0,0,0
None,287.96,0.0,0.0,1,very low,3,0,0,0,0,0,0,0,1,0,0,0,0
None,277.19,0.0,0.0,90,medium,17,0,0,0,0,0,0,0,1,0,0,0,0
None,271.93,0.0,0.0,1,very low,1,0,0,0,0,0,0,0,1,0,0,0,0
None,293.93,0.0,0.0,1,very low,2,0,0,0,0,0,0,0,1,0,0,0,0
None,287.41,0.0,0.0,1,medium,21,0,0,0,0,0,0,0,1,0,0,0,0
None,261.95,0.0,0.0,1,low,23,0,0,0,0,0,0,0,1,0,0,0,0
None,280.77,0.0,0.0,0,very high,6,0,0,0,0,0,0,0,1,0,0,0,0
None,290.35,0.0,0.0,75,very low,7,0,0,0,0,0,0,0,1,0,0,0,0
None,269.4,0.0,0.0,40,low,20,0,0,0,0,0,0,0,1,0,0,0,0
None,295.89,0.0,0.0,12,high,8,0,0,0,0,0,0,0,1,0,0,0,0
None,279.41,0.25,0.0,40,very low,1,0,0,0,0,0,0,0,1,0,0,0,0
None,269.22,0.0,0.0,75,low,8,0,0,0,0,0,0,0,1,0,0,0,0
None,269.21,0.0,0.0,90,high,14,0,0,0,0,0,0,0,1,0,0,0,0
None,296.21,0.0,0.0,75,high,11,0,0,0,0,0,0,0,1,0,0,0,0
None,271.14,0.0,0.0,40,very low,7,0,0,0,0,0,0,0,1,0,0,0,0
None,285.77,0.0,0.0,1,high,10,0,0,0,0,0,0,0,1,0,0,0,0
None,286.21,0.0,0.0,1,very low,3,0,0,0,0,0,0,0,1,0,0,0,0
None,289.76,2.85,0.0,90,high,15,0,0,0,0,0,0,0,1,0,0,0,0
None,289.79,0.0,0.0,1,low,6,0,0,0,0,0,0,0,1,0,0,0,0
None,298.28,0.0,0.0,90,low,20,0,0,0,0,0,0,0,1,0,0,0,0
None,273.72,0.0,0.0,90,very low,2,0,0,0,0,0,0,0,1,0,0,0,0
None,295.38,0.0,0.0,1,very low,0,0,0,0,0,0,0,0,1,0,0,0,0
None,261.62,0.0,0.0,90,low,19,0,0,0,0,0,0,0,1,0,0,0,0
None,276.66,1.61,0.0,90,low,8,0,0,0,0,0,0,0,1,0,0,0,0
None,274.15,0.0,0.0,1,high,13,0,0,0,0,0,0,0,1,0,0,0,0
None,294.49,1.78,0.0,92,very high,17,0,0,0,0,0,0,0,1,0,0,0,0
None,289.12,0.0,0.0,40,high,18,0,0,0,0,0,0,0,1,0,0,0,0
None,273.36,0.0,0.0,90,high,15,0,0,0,0,0,0,0,1,0,0,0,0
None,295.369,0.0,0.0,88,medium,18,0,0,0,0,0,0,0,1,0,0,0,0
None,248.41,0.0,0.0,1,very low,3,0,0,0,0,0,0,0,1,0,0,0,0
None,285.14,0.0,0.0,75,very high,16,0,0,0,0,0,0,0,1,0,0,0,0
None,294.08,0.51,0.0,64,high,11,0,0,0,0,0,0,0,1,0,0,0,0
None,267.72,0.0,0.0,1,low,21,0,0,0,0,0,0,0,1,0,0,0,0
None,290.08,0.0,0.0,1,very low,4,0,0,0,0,0,0,0,1,0,0,0,0
None,292.03,0.0,0.0,40,low,22,0,0,0,0,0,0,0,1,0,0,0,0
None,258.15,0.0,0.0,90,high,13,0,0,0,0,0,0,0,1,0,0,0,0
None,300.27,0.0,0.0,90,medium,14,0,0,0,0,0,0,0,1,0,0,0,0
None,290.49,0.0,0.0,40,high,15,0,0,0,0,0,0,0,1,0,0,0,0
None,277.03,0.0,0.0,1,high,7,0,0,0,0,0,0,0,1,0,0,0,0
None,292.18,0.28,0.0,40,very low,3,0,0,0,0,0,0,0,1,0,0,0,0
None,275.95,0.0,0.0,75,very low,2,0,0,0,0,0,0,0,1,0,0,0,0
None,267.53,0.0,0.0,64,medium,7,0,0,0,0,0,0,0,1,0,0,0,0
None,297.93,0.0,0.0,1,medium,12,0,0,0,0,0,0,0,1,0,0,0,0
None,277.28,0.0,0.0,1,high,6,0,0,0,0,0,0,0,1,0,0,0,0
None,267.22,0.0,0.0,90,high,15,0,0,0,0,0,0,0,1,0,0,0,0
None,277.82,0.0,0.0,90,very high,8,0,0,0,0,0,0,0,1,0,0,0,0
None,294.18,0.0,0.0,1,low,0,0,0,0,0,0,0,0,1,0,0,0,0
None,298.42,0.0,0.0,75,high,15,0,0,0,0,0,0,0,1,0,0,0,0
None,276.06,0.0,0.0,90,high,15,0,0,0,0,0,0,0,1,0,0,0,0
None,265.97,0.0,0.0,75,medium,18,0,0,0,0,0,0,0,1,0,0,0,0
None,288.34,0.0,0.0,5,high,8,0,0,0,0,0,0,0,1,0,0,0,0
None,300.08,0.0,0.0,0,very high,13,0,0,0,0,0,0,0,1,0,0,0,0
None,291.39,0.0,0.0,36,very low,0,0,0,0,0,0,0,0,1,0,0,0,0
None,289.51,0.0,0.0,40,low,22,0,0,0,0,0,0,0,1,0,0,0,0
None,305.09,0.0,0.0,1,low,20,0,0,0,0,0,0,0,1,0,0,0,0
None,294.42,0.0,0.0,1,very low,3,0,0,0,0,0,0,0,1,0,0,0,0
None,285.08,0.0,0.0,40,very low,0,0,0,0,0,0,0,0,1,0,0,0,0
None,252.14,0.0,0.0,40,low,20,0,0,0,0,0,0,0,1,0,0,0,0
None,300.55,0.0,0.0,75,high,17,0,0,0,0,0,0,0,1,0,0,0,0
None,302.94,0.0,0.0,1,very high,17,0,0,0,0,0,0,0,1,0,0,0,0
None,284.68,0.0,0.0,1,medium,13,0,0,0,0,0,0,0,1,0,0,0,0
None,276.23,0.0,0.0,90,high,6,0,0,0,0,0,0,0,1,0,0,0,0
None,279.52,0.0,0.0,20,medium,21,0,0,0,0,0,0,0,1,0,0,0,0
None,289.89,4.57,0.0,92,very low,1,0,0,0,0,0,0,0,1,0,0,0,0
None,289.47,0.0,0.0,1,very high,7,0,0,0,0,0,0,0,1,0,0,0,0
None,271.43,0.0,0.0,90,low,20,0,0,0,0,0,0,0,1,0,0,0,0
None,285.22,0.0,0.0,1,very low,23,0,0,0,0,0,0,0,1,0,0,0,0
None,288.57,0.0,0.0,24,very low,6,0,0,0,0,0,0,0,1,0,0,0,0
None,293.44,0.0,0.0,0,very low,3,0,0,0,0,0,0,0,1,0,0,0,0
None,287.35,0.0,0.0,90,very high,7,0,0,0,0,0,0,0,1,0,0,0,0
None,267.93,0.0,0.0,40,low,20,0,0,0,0,0,0,0,1,0,0,0,0
None,297.01,0.0,0.0,1,very high,16,0,0,0,0,0,0,0,1,0,0,0,0
None,274.59,0.0,0.0,75,very low,0,0,0,0,0,0,0,0,1,0,0,0,0
None,295.72,0.0,0.0,20,medium,20,0,0,0,0,0,0,0,1,0,0,0,0
None,297.29,0.0,0.0,90,low,22,0,0,0,0,0,0,0,1,0,0,0,0
None,279.08,0.0,0.0,90,medium,11,0,0,0,0,0,0,0,1,0,0,0,0
None,282.33,0.0,0.0,1,very low,22,0,0,0,0,0,0,0,1,0,0,0,0
None,290.68,0.0,0.0,40,very low,5,0,0,0,0,0,0,0,1,0,0,0,0
None,274.88,0.0,0.0,90,high,6,0,0,0,0,0,0,0,1,0,0,0,0
None,272.68,0.0,0.0,90,low,5,0,0,0,0,0,0,0,1,0,0,0,0
None,299.36,0.0,0.0,1,low,21,0,0,0,0,0,0,0,1,0,0,0,0
None,270.86,0.0,0.0,90,high,12,0,0,0,0,0,0,0,1,0,0,0,0
None,287.04,0.0,0.0,90,low,5,0,0,0,0,0,0,0,1,0,0,0,0
None,297.51,0.0,0.0,75,medium,19,0,0,0,0,0,0,0,1,0,0,0,0
None,289.63,0.25,0.0,75,very high,7,0,0,0,0,0,0,0,1,0,0,0,0
None,301.02,0.0,0.0,32,very high,16,0,0,0,0,0,0,0,1,0,0,0,0
None,284.66,0.0,0.0,56,medium,19,0,0,0,0,0,0,0,1,0,0,0,0
None,283.29,0.0,0.0,1,medium,21,0,0,0,0,0,0,0,1,0,0,0,0
None,291.73,0.0,0.0,40,medium,19,0,0,0,0,0,0,0,1,0,0,0,0
None,285.22,0.0,0.0,90,high,12,0,0,0,0,0,0,0,1,0,0,0,0
None,300.76,0.0,0.0,40,medium,18,0,0,0,0,0,0,0,1,0,0,0,0
None,283.26,0.0,0.0,44,high,13,0,0,0,0,0,0,0,1,0,0,0,0
None,283.15,0.0,0.0,1,high,13,0,0,0,0,0,0,0,1,0,0,0,0
None,269.15,0.0,0.0,75,low,22,0,0,0,0,0,0,0,1,0,0,0,0
None,273.35,0.0,0.0,90,high,15,0,0,0,0,0,0,0,1,0,0,0,0
None,275.66,0.0,0.0,100,medium,13,0,0,0,0,0,0,0,1,0,0,0,0
None,255.36,0.0,0.0,1,high,15,0,0,0,0,0,0,0,1,0,0,0,0
None,294.07,0.0,0.0,1,medium,5,0,0,0,0,0,0,0,1,0,0,0,0
None,292.35,0.0,0.0,1,very low,2,0,0,0,0,0,0,0,1,0,0,0,0
None,272.0,0.0,0.0,90,medium,19,0,0,0,0,0,0,0,1,0,0,0,0
None,273.49,0.0,0.0,1,very low,0,0,0,0,0,0,0,0,1,0,0,0,0
None,279.83,0.0,0.0,56,high,14,0,0,0,0,0,0,0,1,0,0,0,0
None,295.27,0.44,0.0,90,medium,19,0,0,0,0,0,0,0,1,0,0,0,0
None,283.77,0.0,0.0,90,very high,7,0,0,0,0,0,0,0,1,0,0,0,0
None,269.05,0.0,0.0,90,very low,4,0,0,0,0,0,0,0,1,0,0,0,0
None,296.62,0.0,0.0,75,low,22,0,0,0,0,0,0,0,1,0,0,0,0
None,292.19,0.0,0.0,75,very low,4,0,0,0,0,0,0,0,1,0,0,0,0
None,290.55,0.0,0.0,1,high,6,0,0,0,0,0,0,0,1,0,0,0,0
None,297.15,0.0,0.0,24,medium,20,0,0,0,0,0,0,0,1,0,0,0,0
None,295.15,0.0,0.0,90,very high,7,0,0,0,0,0,0,0,1,0,0,0,0
None,258.01,0.0,0.0,90,medium,7,0,0,0,0,0,0,0,1,0,0,0,0
None,300.97,0.0,0.0,0,very high,14,0,0,0,0,0,0,0,1,0,0,0,0
None,274.21,0.0,0.0,90,low,17,0,0,0,0,0,0,0,1,0,0,0,0
None,272.64,0.0,0.0,90,medium,18,0,0,0,0,0,0,0,1,0,0,0,0
None,260.84,0.0,0.0,75,low,6,0,0,0,0,0,0,0,1,0,0,0,0
None,292.96,0.0,0.0,90,very high,16,0,0,0,0,0,0,0,1,0,0,0,0
None,274.22,0.0,0.0,90,medium,11,0,0,0,0,0,0,0,1,0,0,0,0
None,272.51,0.0,0.0,90,low,5,0,0,0,0,0,0,0,1,0,0,0,0
None,256.01,0.76,0.0,90,medium,15,0,0,0,0,0,0,0,1,0,0,0,0
None,269.15,0.0,0.0,1,high,11,0,0,0,0,0,0,0,1,0,0,0,0
None,277.93,0.0,0.0,90,very low,3,0,0,0,0,0,0,0,1,0,0,0,0
None,294.2,0.0,0.0,0,high,9,0,0,0,0,0,0,0,1,0,0,0,0
None,287.0,0.0,0.0,1,very high,15,0,0,0,0,0,0,0,1,0,0,0,0
None,268.02,0.0,0.0,90,high,8,0,0,0,0,0,0,0,1,0,0,0,0
None,278.63,0.0,0.0,90,very low,4,0,0,0,0,0,0,0,1,0,0,0,0
None,296.52,0.0,0.0,1,low,20,0,0,0,0,0,0,0,1,0,0,0,0
None,260.0,0.0,0.0,90,low,22,0,0,0,0,0,0,0,1,0,0,0,0
None,282.12,0.0,0.0,90,very low,23,0,0,0,0,0,0,0,1,0,0,0,0
None,267.87,0.0,0.0,90,high,9,0,0,0,0,0,0,0,1,0,0,0,0
None,259.22,0.0,0.0,1,very high,8,0,0,0,0,0,0,0,1,0,0,0,0
None,291.72,0.0,0.0,36,very low,0,0,0,0,0,0,0,0,1,0,0,0,0
None,271.53,0.0,0.0,90,low,22,0,0,0,0,0,0,0,1,0,0,0,0
None,301.41,0.0,0.0,5,high,12,0,0,0,0,0,0,0,1,0,0,0,0
None,289.2,0.0,0.0,8,very low,3,0,0,0,0,0,0,0,1,0,0,0,0
None,275.34,0.0,0.0,90,very low,4,0,0,0,0,0,0,0,1,0,0,0,0
None,258.71,0.0,0.0,90,very low,1,0,0,0,0,0,0,0,1,0,0,0,0
None,292.15,0.0,0.0,90,very high,17,0,0,0,0,0,0,0,1,0,0,0,0
None,294.53,0.0,0.0,20,low,0,0,0,0,0,0,0,0,1,0,0,0,0
None,295.85,0.0,0.0,1,low,20,0,0,0,0,0,0,0,1,0,0,0,0
None,285.38,0.0,0.0,1,very low,1,0,0,0,0,0,0,0,1,0,0,0,0
None,271.93,0.0,0.0,90,very low,18,0,0,0,0,0,0,0,1,0,0,0,0
None,275.79,0.0,0.0,90,medium,13,0,0,0,0,0,0,0,1,0,0,0,0
None,275.34,0.0,0.0,1,medium,15,0,0,0,0,0,0,0,1,0,0,0,0
None,269.65,0.0,0.0,75,very low,0,0,0,0,0,0,0,0,1,0,0,0,0
None,294.74,0.0,0.0,76,low,8,0,0,0,0,0,0,0,1,0,0,0,0
None,282.889,0.0,0.0,12,very high,17,0,0,0,0,0,0,0,1,0,0,0,0
None,279.514,0.0,0.0,8,medium,21,0,0,0,0,0,0,0,1,0,0,0,0
None,273.82,0.0,0.0,75,very low,0,0,0,0,0,0,0,0,1,0,0,0,0
None,292.22,0.0,0.0,1,high,11,0,0,0,0,0,0,0,1,0,0,0,0
None,284.36,0.0,0.0,75,very low,1,0,0,0,0,0,0,0,1,0,0,0,0
None,272.01,0.0,0.0,90,very low,2,0,0,0,0,0,0,0,1,0,0,0,0
None,269.08,0.0,0.0,90,high,13,0,0,0,0,0,0,0,1,0,0,0,0
None,265.49,0.0,0.0,1,very low,6,0,0,0,0,0,0,0,1,0,0,0,0
None,278.39,0.0,0.0,90,very low,23,0,0,0,0,0,0,0,1,0,0,0,0
None,289.8,0.0,0.0,40,very low,2,0,0,0,0,0,0,0,1,0,0,0,0
None,290.92,0.0,0.0,1,high,18,0,0,0,0,0,0,0,1,0,0,0,0
None,278.09,0.51,0.0,40,high,18,0,0,0,0,0,0,0,1,0,0,0,0
None,272.15,0.0,0.0,90,high,9,0,0,0,0,0,0,0,1,0,0,0,0
None,294.98,0.0,0.0,1,low,0,0,0,0,0,0,0,0,1,0,0,0,0
None,274.33,0.0,0.0,75,very high,15,0,0,0,0,0,0,0,1,0,0,0,0
None,292.89,0.0,0.0,1,very low,1,0,0,0,0,0,0,0,1,0,0,0,0
None,274.87,0.0,0.0,90,medium,20,0,0,0,0,0,0,0,1,0,0,0,0
None,268.78,0.0,0.0,20,low,21,0,0,0,0,0,0,0,1,0,0,0,0
None,295.98,0.0,0.0,92,high,13,0,0,0,0,0,0,0,1,0,0,0,0
None,281.25,0.0,0.0,92,very high,6,0,0,0,0,0,0,0,1,0,0,0,0
None,287.23,0.0,0.0,100,high,15,0,0,0,0,0,0,0,1,0,0,0,0
None,259.45,0.0,0.0,40,high,12,0,0,0,0,0,0,0,1,0,0,0,0
None,264.01,0.0,0.0,90,low,22,0,0,0,0,0,0,0,1,0,0,0,0
None,261.67,0.0,0.0,90,very high,17,0,0,0,0,0,0,0,1,0,0,0,0
None,290.15,0.0,0.0,1,high,18,0,0,0,0,0,0,0,1,0,0,0,0
None,259.1,0.0,0.0,75,medium,10,0,0,0,0,0,0,0,1,0,0,0,0
None,270.77,0.0,0.0,90,low,7,0,0,0,0,0,0,0,1,0,0,0,0
None,297.72,0.0,0.0,1,high,6,0,0,0,0,0,0,0,1,0,0,0,0
None,280.82,0.0,0.0,85,low,5,0,0,0,0,0,0,0,1,0,0,0,0
None,300.93,0.0,0.0,40,high,14,0,0,0,0,0,0,0,1,0,0,0,0
None,302.2990000000001,0.0,0.0,0,medium,11,0,0,0,0,0,0,0,1,0,0,0,0
None,276.57,0.0,0.0,90,low,21,0,0,0,0,0,0,0,1,0,0,0,0
None,273.774,0.0,0.0,12,medium,22,0,0,0,0,0,0,0,1,0,0,0,0
None,261.29,0.0,0.0,64,high,15,0,0,0,0,0,0,0,1,0,0,0,0
None,274.3,0.0,0.0,90,high,14,0,0,0,0,0,0,0,1,0,0,0,0
None,288.62,0.0,0.0,90,very low,4,0,0,0,0,0,0,0,1,0,0,0,0
None,291.07,0.0,0.0,90,high,6,0,0,0,0,0,0,0,1,0,0,0,0
None,263.72,0.0,0.0,90,low,18,0,0,0,0,0,0,0,1,0,0,0,0
None,275.71,0.0,0.0,90,very low,3,0,0,0,0,0,0,0,1,0,0,0,0
None,286.69,0.0,0.0,75,medium,18,0,0,0,0,0,0,0,1,0,0,0,0
None,299.37,0.0,0.0,75,medium,20,0,0,0,0,0,0,0,1,0,0,0,0
None,280.44,0.0,0.0,90,very high,16,0,0,0,0,0,0,0,1,0,0,0,0
None,264.08,0.0,0.0,90,medium,10,0,0,0,0,0,0,0,1,0,0,0,0
None,270.75,0.0,0.0,1,very high,8,0,0,0,0,0,0,0,1,0,0,0,0
None,274.42,0.0,0.0,1,low,5,0,0,0,0,0,0,0,1,0,0,0,0
None,296.0,0.0,0.0,1,high,15,0,0,0,0,0,0,0,1,0,0,0,0
None,292.67,9.9,0.0,92,high,9,0,0,0,0,0,0,0,1,0,0,0,0
None,293.69,0.0,0.0,75,high,18,0,0,0,0,0,0,0,1,0,0,0,0
None,275.68,0.0,0.0,75,medium,9,0,0,0,0,0,0,0,1,0,0,0,0
None,251.29,0.0,0.0,1,very low,2,0,0,0,0,0,0,0,1,0,0,0,0
None,294.56,0.0,0.0,1,high,13,0,0,0,0,0,0,0,1,0,0,0,0
None,266.95,0.0,0.13,90,very low,0,0,0,0,0,0,0,0,1,0,0,0,0
None,289.62,0.0,0.0,75,high,14,0,0,0,0,0,0,0,1,0,0,0,0
None,256.17,0.0,0.0,40,low,5,0,0,0,0,0,0,0,1,0,0,0,0
None,280.75,0.0,0.0,75,high,8,0,0,0,0,0,0,0,1,0,0,0,0
None,288.58,0.0,0.0,75,high,15,0,0,0,0,0,0,0,1,0,0,0,0
None,265.02,0.0,0.0,1,low,21,0,0,0,0,0,0,0,1,0,0,0,0
None,294.15,0.0,0.0,1,very low,1,0,0,0,0,0,0,0,1,0,0,0,0
None,273.47,0.0,0.0,90,low,19,0,0,0,0,0,0,0,1,0,0,0,0
None,282.36,0.0,0.0,1,high,14,0,0,0,0,0,0,0,1,0,0,0,0
None,273.46,0.0,0.0,90,medium,18,0,0,0,0,0,0,0,1,0,0,0,0
None,274.29,0.0,0.0,1,low,8,0,0,0,0,0,0,0,1,0,0,0,0
None,286.08,0.0,0.0,1,high,12,0,0,0,0,0,0,0,1,0,0,0,0
None,290.08,0.0,0.0,1,very low,0,0,0,0,0,0,0,0,1,0,0,0,0
None,275.15,0.0,0.0,90,medium,10,0,0,0,0,0,0,0,1,0,0,0,0
None,269.28,0.0,0.0,90,medium,11,0,0,0,0,0,0,0,1,0,0,0,0
None,257.59,0.0,0.0,40,high,10,0,0,0,0,0,0,0,1,0,0,0,0
None,291.34,0.0,0.0,5,high,8,0,0,0,0,0,0,0,1,0,0,0,0
None,283.11,0.0,0.0,90,very low,1,0,0,0,0,0,0,0,1,0,0,0,0
None,267.21,0.0,0.0,1,high,16,0,0,0,0,0,0,0,1,0,0,0,0
None,256.72,0.0,0.0,1,medium,15,0,0,0,0,0,0,0,1,0,0,0,0
None,287.18,0.0,0.0,75,very high,7,0,0,0,0,0,0,0,1,0,0,0,0
None,281.65,0.0,0.0,40,medium,11,0,0,0,0,0,0,0,1,0,0,0,0
None,270.92,0.0,0.0,90,very low,4,0,0,0,0,0,0,0,1,0,0,0,0
None,300.84,0.0,0.0,36,low,21,0,0,0,0,0,0,0,1,0,0,0,0
None,257.35,0.25,0.0,90,low,9,0,0,0,0,0,0,0,1,0,0,0,0
None,295.22,0.0,0.0,1,low,23,0,0,0,0,0,0,0,1,0,0,0,0
None,284.9,0.0,0.0,75,low,23,0,0,0,0,0,0,0,1,0,0,0,0
None,285.78,0.0,0.0,1,low,23,0,0,0,0,0,0,0,1,0,0,0,0
None,286.87,0.0,0.0,90,very low,0,0,0,0,0,0,0,0,1,0,0,0,0
None,265.52,0.0,0.0,20,medium,9,0,0,0,0,0,0,0,1,0,0,0,0
None,257.86,0.0,0.0,64,very low,2,0,0,0,0,0,0,0,1,0,0,0,0
None,296.68,0.0,0.0,75,high,18,0,0,0,0,0,0,0,1,0,0,0,0
None,283.76,0.0,0.0,0,low,5,0,0,0,0,0,0,0,1,0,0,0,0
None,294.84,0.0,0.0,1,high,9,0,0,0,0,0,0,0,1,0,0,0,0
None,293.2,0.28,0.0,90,medium,10,0,0,0,0,0,0,0,1,0,0,0,0
None,281.09,0.0,0.0,75,high,9,0,0,0,0,0,0,0,1,0,0,0,0
None,281.13,0.0,0.0,75,low,23,0,0,0,0,0,0,0,1,0,0,0,0
None,290.64,0.77,0.0,90,low,22,0,0,0,0,0,0,0,1,0,0,0,0
None,284.48,0.0,0.0,1,low,20,0,0,0,0,0,0,0,1,0,0,0,0
None,282.55,0.0,0.0,90,low,5,0,0,0,0,0,0,0,1,0,0,0,0
None,284.001,0.0,0.0,36,high,8,0,0,0,0,0,0,0,1,0,0,0,0
None,273.58,0.0,0.0,1,high,10,0,0,0,0,0,0,0,1,0,0,0,0
None,291.93,0.0,0.0,75,high,14,0,0,0,0,0,0,0,1,0,0,0,0
None,295.93,0.0,0.0,1,high,9,0,0,0,0,0,0,0,1,0,0,0,0
None,264.82,0.0,0.0,90,high,9,0,0,0,0,0,0,0,1,0,0,0,0
None,265.51,0.0,0.0,90,low,9,0,0,0,0,0,0,0,1,0,0,0,0
None,249.15,0.0,0.0,1,very low,0,0,0,0,0,0,0,0,1,0,0,0,0
None,291.49,3.2,0.0,1,low,21,0,0,0,0,0,0,0,1,0,0,0,0
None,277.35,0.0,0.0,90,high,9,0,0,0,0,0,0,0,1,0,0,0,0
None,276.08,0.0,0.0,90,very high,17,0,0,0,0,0,0,0,1,0,0,0,0
None,286.41,0.0,0.0,1,low,0,0,0,0,0,0,0,0,1,0,0,0,0
None,291.46,0.85,0.0,90,very low,3,0,0,0,0,0,0,0,1,0,0,0,0
None,275.86,0.0,0.0,90,high,12,0,0,0,0,0,0,0,1,0,0,0,0
None,280.31,0.0,0.0,75,very low,0,0,0,0,0,0,0,0,1,0,0,0,0
None,263.01,0.0,0.0,1,very low,22,0,0,0,0,0,0,0,1,0,0,0,0
None,279.95,0.0,0.0,75,very high,8,0,0,0,0,0,0,0,1,0,0,0,0
None,288.82,0.0,0.0,1,very low,1,0,0,0,0,0,0,0,1,0,0,0,0
None,281.71,0.0,0.0,90,very high,17,0,0,0,0,0,0,0,1,0,0,0,0
None,274.45,0.0,0.0,40,medium,14,0,0,0,0,0,0,0,1,0,0,0,0
None,302.25,0.0,0.0,12,very high,16,0,0,0,0,0,0,0,1,0,0,0,0
None,302.75,0.0,0.0,75,high,18,0,0,0,0,0,0,0,1,0,0,0,0
None,283.88,0.0,0.0,40,high,10,0,0,0,0,0,0,0,1,0,0,0,0
None,268.61,0.0,0.0,90,medium,8,0,0,0,0,0,0,0,1,0,0,0,0
None,272.9,0.0,0.0,90,low,22,0,0,0,0,0,0,0,1,0,0,0,0
None,293.2,2.79,0.0,90,high,9,0,0,0,0,0,0,0,1,0,0,0,0
None,269.96,0.0,0.0,1,medium,19,0,0,0,0,0,0,0,1,0,0,0,0
None,280.23,0.0,0.0,1,very low,4,0,0,0,0,0,0,0,1,0,0,0,0
None,274.08,0.0,0.0,90,very low,2,0,0,0,0,0,0,0,1,0,0,0,0
None,288.63,2.48,0.0,75,high,17,0,0,0,0,0,0,0,1,0,0,0,0
None,292.72,0.0,0.0,1,very low,0,0,0,0,0,0,0,0,1,0,0,0,0
None,290.21,0.0,0.0,1,very low,4,0,0,0,0,0,0,0,1,0,0,0,0
None,271.48,0.0,0.0,90,low,21,0,0,0,0,0,0,0,1,0,0,0,0
None,265.34,0.0,0.0,90,very low,1,0,0,0,0,0,0,0,1,0,0,0,0
None,287.13,0.38,0.0,92,high,13,0,0,0,0,0,0,0,1,0,0,0,0
None,296.24,0.0,0.0,90,very low,2,0,0,0,0,0,0,0,1,0,0,0,0
None,291.52,1.49,0.0,90,very low,1,0,0,0,0,0,0,0,1,0,0,0,0
None,281.95,0.0,0.0,90,low,5,0,0,0,0,0,0,0,1,0,0,0,0
None,273.44,0.0,0.0,90,medium,13,0,0,0,0,0,0,0,1,0,0,0,0
None,299.08,0.0,0.0,75,high,16,0,0,0,0,0,0,0,1,0,0,0,0
None,301.36,0.0,0.0,1,high,18,0,0,0,0,0,0,0,1,0,0,0,0
None,288.04,0.0,0.0,0,high,6,0,0,0,0,0,0,0,1,0,0,0,0
None,291.15,0.0,0.0,90,high,8,0,0,0,0,0,0,0,1,0,0,0,0
