,holiday,temperature,rain_1h,snow_1h,clouds_percentage,weather_type,weather_type_details,date_time,population_density,population_density_categorical
6249,None,293.5,0.0,0.0,40,Clouds,scattered clouds,5/21/2013 11:00,4669,high
21258,None,251.38,0.0,0.0,1,Clear,sky is clear,2/13/2016 8:00,2704,low
25079,None,297.888,0.0,0.0,0,Clear,Sky is Clear,7/20/2016 5:00,2944,medium
44958,None,299.75,0.0,0.0,1,Clear,sky is clear,6/14/2018 15:00,6192,very high
48041,None,292.69,0.0,0.0,90,Rain,moderate rain,9/24/2018 20:00,2559,low
9148,None,291.93,0.0,0.0,0,Clear,Sky is Clear,9/27/2013 6:00,5818,high
4525,None,270.57,0.0,0.0,90,Snow,heavy snow,3/25/2013 8:00,5684,high
40157,None,258.68,0.0,0.0,75,Mist,mist,12/28/2017 11:00,3433,medium
39875,None,269.94,0.0,0.0,90,Mist,mist,12/17/2017 22:00,1692,low
31252,None,272.29,0.0,0.0,75,Clouds,broken clouds,2/23/2017 20:00,3210,medium
13599,None,283.36,0.0,0.0,90,Clouds,overcast clouds,4/12/2014 4:00,390,very low
17780,None,289.7,0.0,0.0,1,Rain,moderate rain,8/28/2015 6:00,5432,high
6110,None,286.79,0.0,0.0,90,Clouds,overcast clouds,5/18/2013 9:00,3477,medium
40041,None,265.75,0.0,0.0,90,Snow,light snow,12/24/2017 11:00,3200,medium
2095,None,274.85,0.0,0.0,90,Mist,mist,12/16/2012 18:00,3076,medium
40913,None,264.97,0.0,0.0,75,Clouds,broken clouds,1/23/2018 20:00,2279,low
13353,None,272.31,0.0,0.0,40,Clouds,scattered clouds,4/1/2014 21:00,2407,low
24120,None,297.45,0.0,0.0,0,Clear,Sky is Clear,6/11/2016 22:00,3360,medium
36623,None,289.02,0.0,0.0,90,Rain,moderate rain,8/26/2017 5:00,858,very low
26641,None,290.62,1.86,0.0,75,Mist,mist,9/15/2016 19:00,3020,medium
41109,None,271.86,0.0,0.0,40,Clouds,scattered clouds,1/31/2018 0:00,628,very low
41530,None,273.01,0.0,0.0,90,Clouds,overcast clouds,2/15/2018 18:00,4982,high
6022,None,295.09,0.0,0.0,75,Clouds,broken clouds,5/14/2013 18:00,5182,high
4751,None,267.57,0.0,0.0,1,Clear,sky is clear,4/3/2013 9:00,5326,high
14380,None,284.17,0.0,0.0,56,Clouds,broken clouds,5/16/2014 20:00,3117,medium
15830,None,299.21,0.0,0.0,1,Clear,sky is clear,7/31/2014 19:00,3929,medium
1967,None,265.22,0.0,0.0,75,Mist,mist,12/13/2012 6:00,5183,high
3778,None,259.06,0.0,0.0,81,Clouds,broken clouds,2/22/2013 0:00,682,very low
8344,None,295.35,0.0,0.0,8,Clear,sky is clear,8/11/2013 14:00,4428,high
43943,None,286.49,0.0,0.0,90,Clouds,overcast clouds,5/9/2018 10:00,4720,high
11987,None,258.8,0.0,0.0,75,Clouds,broken clouds,2/3/2014 20:00,2432,low
13616,None,281.91,0.0,0.0,90,Clouds,overcast clouds,4/12/2014 21:00,3265,medium
27700,None,280.624,0.0,0.0,12,Clouds,few clouds,10/30/2016 12:00,3644,medium
7664,None,292.82,19.9,0.0,20,Rain,very heavy rain,7/14/2013 5:00,542,very low
35086,None,295.97,0.0,0.0,75,Rain,light rain,7/5/2017 2:00,428,very low
16966,None,294.06,0.0,0.0,1,Clear,sky is clear,7/29/2015 23:00,1181,very low
5293,None,273.35,0.0,0.0,90,Fog,fog,4/19/2013 15:00,5616,high
15559,None,287.24,0.25,0.0,1,Rain,light rain,7/17/2014 2:00,333,very low
19457,None,274.01,0.0,0.0,1,Clear,sky is clear,11/13/2015 6:00,5927,very high
28703,None,275.82,0.0,0.0,90,Drizzle,drizzle,11/30/2016 18:00,4232,medium
16299,None,295.18,7.97,0.0,90,Mist,mist,7/6/2015 2:00,319,very low
2842,None,274.67,0.0,0.0,90,Rain,light rain,1/12/2013 1:00,682,very low
4919,None,277.86,0.0,0.0,90,Mist,mist,4/9/2013 4:00,737,very low
42893,None,272.15,0.0,0.0,90,Fog,fog,4/3/2018 14:00,4058,medium
28381,None,274.15,0.0,0.0,90,Mist,mist,11/23/2016 11:00,4262,medium
14412,None,283.67,0.0,0.0,1,Clear,sky is clear,5/18/2014 4:00,357,very low
18623,None,289.04,0.0,0.0,1,Clear,sky is clear,9/27/2015 8:00,2347,low
8872,None,296.52,0.0,0.0,48,Clouds,scattered clouds,9/10/2013 11:00,4874,high
4697,None,275.02,0.0,0.0,1,Mist,mist,4/1/2013 0:00,556,very low
45122,None,290.75,0.0,0.0,90,Rain,proximity shower rain,6/19/2018 9:00,4792,high
45404,None,301.82,0.0,0.0,40,Clouds,scattered clouds,6/28/2018 20:00,3127,medium
10053,None,268.64,0.0,0.0,5,Clear,sky is clear,11/22/2013 10:00,4722,high
8698,None,296.79,0.0,0.0,0,Clear,Sky is Clear,8/29/2013 0:00,643,very low
45857,None,301.79,0.0,0.0,20,Clouds,few clouds,7/14/2018 20:00,3192,medium
16731,None,291.76,0.0,0.0,1,Clear,sky is clear,7/20/2015 22:00,2200,low
17035,None,298.33,0.0,0.0,1,Clear,sky is clear,8/1/2015 21:00,2646,low
39331,None,268.15,0.0,0.0,1,Clear,sky is clear,11/29/2017 5:00,3034,medium
26437,None,294.21,0.0,0.0,1,Thunderstorm,proximity thunderstorm,9/7/2016 22:00,907,very low
1599,None,273.09,0.0,0.0,90,Mist,mist,12/1/2012 8:00,2953,medium
46836,None,299.41,0.0,0.0,90,Clouds,overcast clouds,8/19/2018 12:00,4624,high
41385,None,257.14,0.0,0.0,40,Clouds,scattered clouds,2/9/2018 21:00,3092,medium
20572,None,256.65,0.0,0.0,90,Snow,light snow,1/11/2016 22:00,1215,very low
13253,None,274.98,0.25,0.0,90,Rain,light rain,3/28/2014 17:00,5974,very high
7617,None,288.74,0.0,0.0,0,Mist,mist,7/12/2013 7:00,6613,very high
37935,None,275.22,0.0,0.0,1,Clear,sky is clear,10/11/2017 4:00,872,very low
32942,None,275.69,0.0,0.0,1,Clear,sky is clear,4/22/2017 5:00,854,very low
37255,None,286.02,0.0,0.0,75,Rain,moderate rain,9/18/2017 9:00,5515,high
20699,None,251.88,0.0,0.0,1,Clear,sky is clear,1/19/2016 10:00,4416,high
46035,None,295.56,0.0,0.0,90,Rain,moderate rain,7/20/2018 19:00,3574,medium
36747,None,292.84,0.0,0.0,5,Clear,sky is clear,8/29/2017 22:00,2051,low
21535,None,279.55,0.0,0.0,1,Clear,sky is clear,2/27/2016 22:00,3778,medium
5177,None,273.53,0.0,0.0,75,Clouds,broken clouds,4/16/2013 6:00,5994,very high
21871,None,277.22,0.0,0.0,90,Rain,moderate rain,3/17/2016 13:00,5501,high
4779,None,277.72,0.0,0.0,1,Clear,sky is clear,4/4/2013 13:00,5180,high
40355,None,251.35,0.0,0.0,1,Clear,sky is clear,1/4/2018 23:00,1185,very low
18520,None,291.92,0.51,0.0,90,Drizzle,light intensity drizzle,9/23/2015 20:00,2853,low
27816,None,276.08,0.0,0.0,1,Mist,mist,11/4/2016 6:00,5225,high
13195,None,263.87,0.0,0.0,75,Clouds,broken clouds,3/26/2014 7:00,6641,very high
23122,None,281.84,0.0,0.0,1,Clear,sky is clear,5/7/2016 23:00,2215,low
5693,None,277.81,0.0,0.0,90,Clouds,overcast clouds,5/2/2013 17:00,6299,very high
3009,None,262.34,0.0,0.0,1,Clear,sky is clear,1/17/2013 23:00,1147,very low
47101,None,302.1,1.78,0.0,40,Rain,moderate rain,8/26/2018 17:00,3998,medium
1594,None,271.54,0.0,0.0,90,Clouds,overcast clouds,12/1/2012 4:00,384,very low
4641,None,272.28,0.0,0.0,90,Clouds,overcast clouds,3/30/2013 5:00,624,very low
31457,None,269.81,0.0,0.0,1,Clear,sky is clear,3/3/2017 12:00,5727,high
17835,None,295.23,0.0,0.0,1,Clear,sky is clear,8/30/2015 12:00,5042,high
11657,None,257.29,0.0,0.0,64,Mist,mist,1/21/2014 23:00,845,very low
43316,None,271.0,0.0,0.0,90,Snow,light snow,4/15/2018 13:00,2205,low
36432,None,294.15,0.0,0.0,5,Haze,haze,8/19/2017 11:00,4184,medium
45415,None,297.08,0.0,0.0,1,Clear,sky is clear,6/29/2018 7:00,6051,very high
28215,None,273.58,0.0,0.0,90,Snow,light snow,11/18/2016 19:00,2524,low
42048,None,276.58,0.0,0.0,90,Clouds,overcast clouds,3/4/2018 21:00,3017,medium
12322,None,267.51,0.0,0.0,1,Clear,sky is clear,2/17/2014 19:00,2465,low
27103,None,289.83,1.14,0.0,100,Rain,moderate rain,10/4/2016 22:00,1266,very low
19566,None,283.15,0.0,0.0,90,Rain,proximity shower rain,11/18/2015 14:00,5020,high
13920,None,285.3,0.0,0.0,20,Clouds,few clouds,4/25/2014 13:00,5746,high
30825,None,271.36,0.0,0.0,1,Snow,light snow,2/7/2017 3:00,319,very low
12386,None,274.43,0.0,0.0,90,Clouds,overcast clouds,2/20/2014 11:00,4380,high
11783,None,259.18,0.0,0.0,64,Mist,mist,1/26/2014 7:00,1190,very low
30903,None,266.41,0.0,0.0,75,Clouds,broken clouds,2/9/2017 22:00,2020,low
2336,None,264.77,0.0,0.0,90,Clouds,overcast clouds,12/24/2012 0:00,664,very low
11712,None,261.41,0.0,0.0,64,Clouds,broken clouds,1/24/2014 3:00,369,very low
6890,None,292.55,0.0,0.0,44,Haze,haze,6/11/2013 13:00,4994,high
10115,None,272.15,0.0,0.0,1,Clear,sky is clear,11/25/2013 0:00,468,very low
6581,None,290.99,0.0,0.0,90,Rain,light rain,6/1/2013 2:00,557,very low
21918,None,270.79,0.0,0.0,90,Snow,light snow,3/19/2016 8:00,3125,medium
24356,None,299.61,0.0,0.0,12,Clouds,few clouds,6/21/2016 18:00,4732,high
12480,None,256.03,0.0,0.0,20,Clouds,few clouds,2/24/2014 9:00,5154,high
40585,None,254.75,0.0,0.0,5,Clear,sky is clear,1/12/2018 19:00,3348,medium
19180,None,281.29,0.0,0.0,90,Mist,mist,10/28/2015 4:00,910,very low
28762,None,272.79,0.0,0.0,90,Clouds,overcast clouds,12/2/2016 18:00,4893,high
30838,None,269.47,0.0,0.0,90,Snow,light snow,2/7/2017 9:00,4140,medium
1400,None,284.06,0.0,0.0,75,Clouds,broken clouds,11/23/2012 6:00,2069,low
36530,None,286.62,0.0,0.0,1,Clear,sky is clear,8/23/2017 3:00,372,very low
3556,None,269.6,0.0,0.0,90,Clouds,overcast clouds,2/12/2013 10:00,4386,high
32649,None,282.85,0.0,0.0,90,Clouds,overcast clouds,4/13/2017 23:00,1270,very low
19159,None,281.75,0.0,0.0,1,Clear,sky is clear,10/27/2015 8:00,5957,very high
3327,None,258.59,0.0,0.0,91,Clouds,overcast clouds,2/3/2013 14:00,4178,medium
48024,None,288.78,0.0,0.0,1,Clear,sky is clear,9/24/2018 3:00,328,very low
27865,None,281.82,0.0,0.0,1,Mist,mist,11/6/2016 3:00,194,very low
44384,None,303.44,0.0,0.0,75,Thunderstorm,proximity thunderstorm,5/25/2018 17:00,4904,high
12877,None,266.52,0.0,0.0,20,Clouds,few clouds,3/13/2014 1:00,373,very low
14481,None,285.23,0.51,0.0,90,Rain,light rain,5/20/2014 0:00,547,very low
18761,None,282.04,0.0,0.0,1,Clear,sky is clear,10/3/2015 22:00,3283,medium
9027,None,296.41,0.0,0.0,40,Haze,haze,9/18/2013 18:00,4981,high
17574,None,285.61,0.0,0.0,75,Clouds,broken clouds,8/20/2015 5:00,3002,medium
21539,None,275.14,0.0,0.0,1,Mist,mist,2/28/2016 6:00,1033,very low
13787,None,284.66,0.84,0.0,90,Rain,light rain,4/20/2014 0:00,1043,very low
40027,None,265.02,0.0,0.0,1,Clear,sky is clear,12/23/2017 21:00,2449,low
33912,None,281.03,0.0,0.0,90,Drizzle,drizzle,5/21/2017 21:00,2238,low
6313,None,282.9,0.0,0.0,90,Rain,moderate rain,5/22/2013 23:00,1125,very low
10536,None,260.53,0.0,0.0,90,Snow,light snow,12/9/2013 1:00,291,very low
4346,None,266.23,0.0,0.0,90,Snow,heavy snow,3/17/2013 6:00,687,very low
13575,None,278.88,0.0,0.0,90,Clouds,overcast clouds,4/11/2014 4:00,760,very low
29471,None,273.88,0.0,0.0,90,Rain,moderate rain,12/25/2016 15:00,2540,low
10570,None,259.3,0.0,0.0,64,Mist,mist,12/10/2013 6:00,4822,high
31946,None,276.34,0.0,0.0,75,Clouds,broken clouds,3/22/2017 17:00,6401,very high
21793,None,286.38,0.0,0.0,90,Haze,haze,3/14/2016 19:00,3197,medium
17598,None,288.42,0.0,0.0,1,Clear,sky is clear,8/21/2015 5:00,2752,low
9287,None,286.64,0.0,0.0,90,Rain,light rain,10/5/2013 8:00,3452,medium
16975,None,291.99,0.0,0.0,1,Clear,sky is clear,7/30/2015 8:00,5337,high
22187,None,274.42,0.0,0.0,1,Clear,sky is clear,4/1/2016 20:00,3329,medium
1107,None,283.42,0.0,0.0,90,Mist,mist,11/11/2012 12:00,3710,medium
24941,None,293.318,0.0,0.0,92,Clouds,overcast clouds,7/14/2016 11:00,4394,high
9836,None,278.04,0.0,0.0,64,Clouds,broken clouds,11/13/2013 21:00,3975,medium
10854,None,266.01,0.0,0.0,64,Snow,light snow,12/21/2013 20:00,2777,low
32405,None,285.08,0.0,0.0,90,Clouds,overcast clouds,4/5/2017 17:00,6258,very high
42506,None,269.94,0.0,0.0,1,Clear,sky is clear,3/20/2018 23:00,1062,very low
32108,None,278.68,0.0,0.0,90,Rain,moderate rain,3/26/2017 18:00,3694,medium
14346,None,280.99,0.0,0.0,32,Clouds,scattered clouds,5/15/2014 10:00,4916,high
33902,None,282.46,0.0,0.0,90,Drizzle,light intensity drizzle,5/21/2017 16:00,4718,high
23755,None,289.37,1.2,0.0,75,Drizzle,light intensity drizzle,5/29/2016 3:00,398,very low
43753,None,281.82,0.0,0.0,40,Clouds,scattered clouds,5/2/2018 7:00,6606,very high
23053,None,290.03,0.0,0.0,20,Clouds,few clouds,5/5/2016 11:00,4980,high
27333,None,292.399,0.0,0.0,0,Clear,Sky is Clear,10/14/2016 15:00,5686,high
26071,None,291.46,0.0,0.0,90,Rain,light rain,8/27/2016 14:00,4224,medium
21697,None,274.82,0.0,0.0,90,Mist,mist,3/10/2016 2:00,280,very low
23667,None,290.93,0.0,0.0,1,Clear,sky is clear,5/27/2016 0:00,786,very low
36600,None,291.51,0.0,0.0,90,Thunderstorm,proximity thunderstorm,8/25/2017 21:00,3008,medium
14409,None,284.99,0.0,0.0,1,Clear,sky is clear,5/18/2014 1:00,859,very low
21591,None,270.28,0.0,0.0,90,Clouds,overcast clouds,3/3/2016 3:00,306,very low
36141,None,291.28,0.0,0.0,1,Clear,sky is clear,8/10/2017 22:00,2248,low
9409,None,293.15,0.0,0.0,1,Clear,sky is clear,10/10/2013 19:00,3764,medium
3970,None,270.96,0.0,0.0,90,Clouds,overcast clouds,2/28/2013 7:00,7029,very high
7994,None,284.93,0.0,0.0,48,Clouds,scattered clouds,7/28/2013 8:00,1723,low
17268,None,297.19,0.0,0.0,40,Clouds,scattered clouds,8/10/2015 11:00,4444,high
46536,None,291.01,0.0,0.0,1,Mist,mist,8/8/2018 8:00,5864,very high
45496,None,290.73,0.0,0.0,1,Clear,sky is clear,7/2/2018 2:00,425,very low
10181,Thanksgiving Day,268.24,0.0,0.0,64,Clouds,broken clouds,11/28/2013 0:00,929,very low
29364,None,272.22,0.0,0.0,1,Clear,sky is clear,12/22/2016 23:00,1441,very low
24036,None,291.24,0.0,0.0,12,Clouds,few clouds,6/8/2016 10:00,4558,high
10629,None,264.62,0.0,0.0,90,Clouds,overcast clouds,12/12/2013 20:00,2829,low
43264,None,269.21,0.0,0.0,90,Snow,heavy snow,4/14/2018 18:00,1068,very low
27930,None,278.54,0.0,0.0,1,Clear,sky is clear,11/8/2016 20:00,2197,low
25572,None,291.36,0.0,0.0,0,Clear,Sky is Clear,8/8/2016 2:00,440,very low
20130,None,272.37,0.0,0.0,90,Clouds,overcast clouds,12/21/2015 20:00,2571,low
37688,None,291.37,0.0,0.0,75,Drizzle,light intensity drizzle,10/3/2017 4:00,895,very low
28719,None,275.03,0.0,0.0,90,Rain,light rain,12/1/2016 2:00,257,very low
3285,None,250.24,0.0,0.0,70,Clouds,broken clouds,2/1/2013 20:00,2547,low
25371,None,295.28,0.0,0.0,40,Clouds,scattered clouds,7/30/2016 21:00,2892,low
1765,None,277.85,0.0,0.0,90,Clouds,overcast clouds,12/7/2012 0:00,629,very low
3265,None,252.77,0.0,0.0,100,Clouds,overcast clouds,2/1/2013 0:00,627,very low
3333,None,258.4,0.0,0.0,97,Clouds,overcast clouds,2/3/2013 21:00,1566,low
6332,None,282.76,0.0,0.0,90,Rain,moderate rain,5/23/2013 12:00,5227,high
11773,None,259.02,0.64,0.0,64,Mist,mist,1/26/2014 2:00,477,very low
46408,None,294.08,0.0,0.0,75,Thunderstorm,proximity thunderstorm,8/4/2018 0:00,1078,very low
13615,None,282.53,0.25,0.0,90,Rain,light rain,4/12/2014 20:00,2907,low
21142,None,264.48,0.0,0.0,90,Snow,light snow,2/8/2016 0:00,444,very low
33131,None,274.09,0.0,0.0,90,Clouds,overcast clouds,4/27/2017 18:00,4821,high
23062,None,295.83,0.0,0.0,20,Haze,haze,5/5/2016 20:00,3153,medium
43294,None,268.08,0.0,0.0,90,Snow,light snow,4/15/2018 4:00,175,very low
18156,None,292.73,0.0,0.0,75,Clouds,broken clouds,9/10/2015 17:00,6184,very high
28912,None,264.62,0.0,0.0,90,Snow,light snow,12/8/2016 1:00,420,very low
43069,None,267.49,0.0,0.0,90,Mist,mist,4/9/2018 8:00,5824,very high
47004,None,292.72,2.88,0.0,90,Rain,proximity shower rain,8/24/2018 15:00,5879,very high
9982,None,280.32,0.0,0.0,64,Clouds,broken clouds,11/19/2013 15:00,6060,very high
47409,None,295.82,2.61,0.0,90,Rain,heavy intensity rain,9/4/2018 15:00,5436,high
9352,None,282.85,0.0,0.0,0,Clear,Sky is Clear,10/7/2013 21:00,2381,low
30315,None,274.88,0.0,0.0,90,Fog,fog,1/21/2017 5:00,639,very low
19549,None,285.44,0.0,0.0,90,Drizzle,light intensity drizzle,11/17/2015 22:00,1826,low
8884,None,290.85,0.0,0.0,92,Clouds,overcast clouds,9/11/2013 3:00,350,very low
34958,None,291.08,0.0,0.0,1,Thunderstorm,proximity thunderstorm with rain,6/30/2017 3:00,392,very low
12643,None,250.57,0.0,0.0,1,Clear,sky is clear,3/3/2014 1:00,351,very low
6497,None,286.99,0.0,0.0,90,Rain,light rain,5/29/2013 14:00,5556,high
40156,None,258.68,0.0,0.0,75,Snow,light snow,12/28/2017 11:00,3433,medium
7681,None,297.29,0.0,0.0,0,Clear,Sky is Clear,7/14/2013 15:00,4363,medium
35335,None,294.52,0.0,0.0,75,Clouds,broken clouds,7/14/2017 14:00,5282,high
17081,None,296.65,0.0,0.0,40,Clouds,scattered clouds,8/3/2015 19:00,3384,medium
10470,None,251.15,0.0,0.0,1,Clear,sky is clear,12/6/2013 20:00,2729,low
18550,None,290.83,0.0,0.0,90,Rain,light rain,9/24/2015 9:00,5217,high
41342,None,255.95,0.0,0.0,1,Snow,light snow,2/8/2018 5:00,2830,low
46637,None,293.79,0.0,0.0,1,Mist,mist,8/12/2018 0:00,1406,very low
25234,None,302.2,0.0,0.0,20,Clouds,few clouds,7/25/2016 15:00,4770,high
4845,None,275.19,0.0,0.0,75,Clouds,broken clouds,4/7/2013 1:00,805,very low
44490,None,297.55,0.0,0.0,90,Rain,moderate rain,5/29/2018 18:00,4267,medium
28523,None,271.28,0.0,0.0,75,Snow,snow,11/27/2016 5:00,469,very low
30469,None,271.39099999999996,0.0,0.0,92,Clouds,overcast clouds,1/24/2017 22:00,1674,low
46591,None,290.41,0.0,0.0,5,Mist,mist,8/10/2018 7:00,5950,very high
41136,None,264.72,0.0,0.0,90,Snow,light snow,1/31/2018 22:00,1739,low
6693,None,289.3,0.25,0.0,92,Rain,light rain,6/5/2013 15:00,6055,very high
16758,None,291.01,0.0,0.0,1,Clear,sky is clear,7/22/2015 1:00,428,very low
22612,None,289.79,0.0,0.0,75,Drizzle,drizzle,4/20/2016 19:00,3634,medium
11703,None,251.64,0.0,0.0,40,Clouds,scattered clouds,1/23/2014 17:00,5676,high
44814,None,293.72,0.0,0.0,90,Mist,mist,6/9/2018 11:00,4085,medium
10194,None,269.16,0.0,0.0,90,Snow,light snow,11/28/2013 14:00,3019,medium
22664,None,284.05,0.0,0.0,24,Clouds,few clouds,4/22/2016 0:00,983,very low
36429,None,289.55,0.0,0.0,1,Fog,fog,8/19/2017 9:00,3449,medium
3586,None,268.95,0.0,0.0,90,Clouds,overcast clouds,2/13/2013 22:00,1663,low
24301,None,301.95,0.0,0.0,0,Clear,Sky is Clear,6/19/2016 11:00,5131,high
45930,None,299.09,0.0,0.0,1,Clear,sky is clear,7/17/2018 19:00,3337,medium
43269,None,268.68,0.0,0.0,90,Snow,snow,4/14/2018 20:00,618,very low
24284,None,302.52,0.0,0.0,12,Clouds,few clouds,6/18/2016 18:00,4636,high
17326,None,297.14,0.0,0.0,1,Clear,sky is clear,8/12/2015 21:00,3291,medium
45305,None,295.37,0.0,0.0,75,Rain,light rain,6/25/2018 10:00,4310,medium
10356,None,274.3,1.27,0.0,64,Mist,mist,12/3/2013 13:00,4739,high
24951,None,291.619,0.0,0.0,92,Clouds,overcast clouds,7/14/2016 21:00,2931,medium
2412,None,257.12,0.0,0.0,75,Clouds,broken clouds,12/27/2012 3:00,303,very low
47883,None,287.37,0.0,0.0,90,Mist,mist,9/20/2018 3:00,344,very low
7494,None,297.54,0.0,0.0,12,Clouds,few clouds,7/7/2013 10:00,3235,medium
25975,None,292.43,0.0,0.0,90,Rain,moderate rain,8/24/2016 2:00,250,very low
11522,None,272.18,0.25,0.0,64,Haze,haze,1/16/2014 8:00,5568,high
9662,None,273.85,0.0,0.0,64,Mist,mist,11/6/2013 4:00,859,very low
2913,None,256.83,0.0,0.0,1,Clear,sky is clear,1/14/2013 3:00,281,very low
48091,None,284.7,0.0,0.0,75,Clouds,broken clouds,9/26/2018 11:00,4721,high
12970,None,267.76,0.0,0.0,75,Clouds,broken clouds,3/16/2014 22:00,1554,low
33053,None,282.09,0.0,0.0,90,Rain,moderate rain,4/26/2017 1:00,349,very low
47702,None,298.57,0.0,0.0,75,Clouds,broken clouds,9/15/2018 10:00,4448,high
43182,None,276.88,0.0,0.0,90,Snow,sleet,4/13/2018 13:00,5174,high
43435,None,282.08,0.0,0.0,20,Clouds,few clouds,4/19/2018 15:00,6188,very high
26496,None,289.17,0.0,0.0,1,Rain,light rain,9/10/2016 2:00,747,very low
7780,None,301.93,0.0,0.0,36,Clouds,scattered clouds,7/19/2013 10:00,4881,high
42727,None,270.82,0.0,0.0,1,Clear,sky is clear,3/29/2018 3:00,353,very low
46602,None,303.02,0.0,0.0,1,Clear,sky is clear,8/10/2018 18:00,4616,high
25761,None,293.39,0.0,0.0,0,Clear,Sky is Clear,8/15/2016 23:00,971,very low
1404,None,284.9,0.0,0.0,40,Clouds,scattered clouds,11/23/2012 10:00,3230,medium
11450,None,270.15,0.0,0.0,90,Mist,mist,1/14/2014 3:00,401,very low
4489,None,270.48,0.0,0.0,1,Clear,sky is clear,3/23/2013 22:00,4260,medium
26787,None,290.38,0.0,0.0,100,Rain,moderate rain,9/21/2016 18:00,4258,medium
18493,None,289.38,0.0,0.0,1,Mist,mist,9/23/2015 2:00,257,very low
17441,None,293.86,3.09,0.0,90,Mist,mist,8/16/2015 22:00,1762,low
26106,None,288.95,0.25,0.0,90,Mist,mist,8/28/2016 6:00,912,very low
18000,None,301.24,0.0,0.0,40,Clouds,scattered clouds,9/5/2015 20:00,3030,medium
10221,None,271.95,0.0,0.0,64,Clouds,broken clouds,11/29/2013 18:00,3587,medium
42778,None,272.15,0.0,0.0,90,Snow,heavy snow,3/31/2018 2:00,485,very low
35443,None,297.43,0.0,0.0,75,Mist,mist,7/18/2017 15:00,5626,high
40142,None,257.3,0.0,0.0,90,Snow,light snow,12/28/2017 6:00,3997,medium
36280,None,288.82,0.0,0.0,90,Haze,haze,8/15/2017 9:00,4911,high
25072,None,297.888,0.0,0.0,0,Clear,Sky is Clear,7/19/2016 22:00,1831,low
7452,None,303.59,0.0,0.0,0,Clear,Sky is Clear,7/5/2013 15:00,4780,high
47507,None,289.6,0.0,0.0,1,Clear,sky is clear,9/7/2018 10:00,4720,high
29367,None,271.71,0.0,0.0,1,Clear,sky is clear,12/23/2016 2:00,383,very low
35981,None,288.79,0.0,0.0,1,Clear,sky is clear,8/6/2017 0:00,1885,low
45180,None,298.89,0.0,0.0,90,Clouds,overcast clouds,6/20/2018 17:00,6439,very high
17166,None,294.13,1.4,0.0,75,Thunderstorm,thunderstorm with light rain,8/6/2015 23:00,1306,very low
24290,None,295.7,0.0,0.0,8,Clear,sky is clear,6/19/2016 0:00,1770,low
36680,None,291.36,0.0,0.0,90,Clouds,overcast clouds,8/27/2017 10:00,4015,medium
