,holiday,temperature,rain_1h,snow_1h,clouds_percentage,population_density_categorical,time,Christmas Day,Columbus Day,Independence Day,Labor Day,Martin Luther King Jr Day,Memorial Day,New Years Day,None,State Fair,Thanksgiving Day,Veterans Day,Washingtons Birthday
34421,None,273.15,0.0,0.0,1,very high,15,0,0,0,0,0,0,0,1,0,0,0,0
42349,None,286.55,0.0,0.0,90,high,11,0,0,0,0,0,0,0,1,0,0,0,0
12619,None,292.43,0.0,0.0,90,very high,17,0,0,0,0,0,0,0,1,0,0,0,0
12487,None,277.34,0.0,0.0,90,high,12,0,0,0,0,0,0,0,1,0,0,0,0
25866,None,301.62,0.0,0.0,1,medium,13,0,0,0,0,0,0,0,1,0,0,0,0
41732,None,303.07,0.0,0.0,8,medium,18,0,0,0,0,0,0,0,1,0,0,0,0
34737,None,266.36,0.0,0.0,90,very low,1,0,0,0,0,0,0,0,1,0,0,0,0
23306,None,298.86,0.0,0.0,40,high,12,0,0,0,0,0,0,0,1,0,0,0,0
9827,None,301.49,0.0,0.0,1,medium,19,0,0,0,0,0,0,0,1,0,0,0,0
40829,None,292.62,0.0,0.0,1,high,6,0,0,0,0,0,0,0,1,0,0,0,0
4020,None,297.43,0.0,0.0,75,high,15,0,0,0,0,0,0,0,1,0,0,0,0
35976,None,291.252,0.0,0.0,56,low,23,0,0,0,0,0,0,0,1,0,0,0,0
18005,None,291.42,0.0,0.0,20,high,15,0,0,0,0,0,0,0,1,0,0,0,0
30012,None,286.34,0.0,0.0,90,high,10,0,0,0,0,0,0,0,1,0,0,0,0
35077,None,291.06,0.0,0.0,1,medium,5,0,0,0,0,0,0,0,1,0,0,0,0
464,None,272.68,0.0,0.0,90,medium,9,0,0,0,0,0,0,0,1,0,0,0,0
26882,None,271.13,0.0,0.0,90,very low,4,0,0,0,0,0,0,0,1,0,0,0,0
23338,None,289.45,0.38,0.0,75,medium,18,0,0,0,0,0,0,0,1,0,0,0,0
20912,None,289.06,0.0,0.0,90,high,10,0,0,0,0,0,0,0,1,0,0,0,0
15230,None,272.41,0.0,0.0,90,medium,11,0,0,0,0,0,0,0,1,0,0,0,0
1729,None,288.32,0.69,0.0,68,very low,3,0,0,0,0,0,0,0,1,0,0,0,0
18415,None,278.49,0.0,0.0,20,very low,23,0,0,0,0,0,0,0,1,0,0,0,0
5931,None,251.46,0.0,0.0,90,medium,10,0,0,0,0,0,0,0,1,0,0,0,0
20924,None,298.82,0.0,0.0,36,high,12,0,0,0,0,0,0,0,1,0,0,0,0
30074,None,297.15,0.0,0.0,40,very low,0,0,0,0,0,0,0,0,1,0,0,0,0
14092,None,273.94,0.0,0.0,90,medium,22,0,0,0,0,0,0,0,1,0,0,0,0
13579,None,274.09,0.0,0.0,90,very low,3,0,0,0,0,0,0,0,1,0,0,0,0
39474,None,293.37,0.3,0.0,90,very low,3,0,0,0,0,0,0,0,1,0,0,0,0
4181,None,272.53,0.0,0.0,20,very high,7,0,0,0,0,0,0,0,1,0,0,0,0
18560,None,301.68,0.0,0.0,40,high,11,0,0,0,0,0,0,0,1,0,0,0,0
41013,None,295.3,0.0,0.0,1,high,12,0,0,0,0,0,0,0,1,0,0,0,0
39422,None,297.41,0.0,0.0,75,medium,15,0,0,0,0,0,0,0,1,0,0,0,0
20206,None,251.95,0.0,0.0,1,high,8,0,0,0,0,0,0,0,1,0,0,0,0
39856,None,274.48,0.0,0.0,90,high,14,0,0,0,0,0,0,0,1,0,0,0,0
6137,None,276.78,0.0,0.0,1,high,10,0,0,0,0,0,0,0,1,0,0,0,0
28724,None,278.59,0.0,0.0,1,medium,9,0,0,0,0,0,0,0,1,0,0,0,0
11288,None,275.35,0.0,0.0,90,high,18,0,0,0,0,0,0,0,1,0,0,0,0
38842,None,284.811,0.0,0.0,0,high,11,0,0,0,0,0,0,0,1,0,0,0,0
10527,None,264.53,14.73,0.0,64,very low,0,0,0,0,0,0,0,0,1,0,0,0,0
26603,None,275.08,0.0,0.0,90,very low,7,0,0,0,0,0,0,0,1,0,0,0,0
42416,None,275.01,0.0,0.0,90,very high,13,0,0,0,0,0,0,0,1,0,0,0,0
40811,None,275.43,0.0,0.0,90,high,10,0,0,0,0,0,0,0,1,0,0,0,0
4877,None,296.2,1.5,0.0,90,very low,1,0,0,0,0,0,0,0,1,0,0,0,0
34543,None,302.49,0.25,0.0,1,high,17,0,0,0,0,0,0,0,1,0,0,0,0
7937,None,277.35,0.0,0.0,90,low,22,0,0,0,0,0,0,0,1,0,0,0,0
42647,None,292.49,0.0,0.0,40,very low,0,0,0,0,0,0,0,0,1,0,0,0,0
6981,None,268.69,0.0,0.0,90,very low,3,0,0,0,0,0,0,0,1,0,0,0,0
24136,None,273.771,0.0,0.0,0,very low,1,0,0,0,0,0,0,0,1,0,0,0,0
23311,None,285.35,0.0,0.0,90,medium,19,0,0,0,0,0,0,0,1,0,0,0,0
15670,None,269.8,0.0,0.0,75,very low,3,0,0,0,0,0,0,0,1,0,0,0,0
17649,None,252.77,0.0,0.0,100,very low,1,0,0,0,0,0,0,0,1,0,0,0,0
30737,None,287.82,0.0,0.0,90,high,9,0,0,0,0,0,0,0,1,0,0,0,0
4910,None,289.75,0.0,0.0,90,high,12,0,0,0,0,0,0,0,1,0,0,0,0
34483,None,265.27,0.25,0.0,64,very high,16,0,0,0,0,0,0,0,1,0,0,0,0
6593,None,282.715,0.0,0.0,0,very low,0,0,0,0,0,0,0,0,1,0,0,0,0
15556,None,291.97,0.0,0.0,1,very low,4,0,0,0,0,0,0,0,1,0,0,0,0
40135,None,293.37,0.0,0.0,1,low,23,0,0,0,0,0,0,0,1,0,0,0,0
5859,None,294.39,0.0,0.0,1,low,21,0,0,0,0,0,0,0,1,0,0,0,0
23160,None,279.84,0.0,0.0,90,high,12,0,0,0,0,0,0,0,1,0,0,0,0
26225,None,295.88,5.08,0.0,75,high,14,0,0,0,0,0,0,0,1,0,0,0,0
16113,None,297.35,0.0,0.0,1,low,8,0,0,0,0,0,0,0,1,0,0,0,0
33522,None,290.6,0.0,0.0,1,high,6,0,0,0,0,0,0,0,1,0,0,0,0
33087,None,268.55,0.0,0.0,20,very low,3,0,0,0,0,0,0,0,1,0,0,0,0
37607,None,265.22,0.0,0.0,40,medium,9,0,0,0,0,0,0,0,1,0,0,0,0
6278,None,301.29,0.0,0.0,1,very low,4,0,0,0,0,0,0,0,1,0,0,0,0
27090,None,292.15,0.0,0.0,40,high,11,0,0,0,0,0,0,0,1,0,0,0,0
40966,None,283.15,0.0,0.0,75,very low,0,0,0,0,0,0,0,0,1,0,0,0,0
31905,None,293.06,0.0,0.0,1,very low,2,0,0,0,0,0,0,0,1,0,0,0,0
24096,None,280.8,0.0,0.0,90,medium,16,0,0,0,0,0,0,0,1,0,0,0,0
19925,None,290.06,0.0,0.0,40,very high,16,0,0,0,0,0,0,0,1,0,0,0,0
5513,None,289.08,0.0,0.0,90,high,13,0,0,0,0,0,0,0,1,0,0,0,0
23179,None,271.79,0.0,0.0,90,medium,17,0,0,0,0,0,0,0,1,0,0,0,0
13655,None,250.44,0.0,0.0,40,medium,10,0,0,0,0,0,0,0,1,0,0,0,0
40338,None,270.02,0.0,0.0,90,low,20,0,0,0,0,0,0,0,1,0,0,0,0
866,None,297.44,0.0,0.0,1,very high,16,0,0,0,0,0,0,0,1,0,0,0,0
8671,None,269.62,0.0,0.0,40,very low,23,0,0,0,0,0,0,0,1,0,0,0,0
26729,None,271.85,0.0,0.0,90,very low,4,0,0,0,0,0,0,0,1,0,0,0,0
41203,None,274.07,0.0,0.0,90,very low,2,0,0,0,0,0,0,0,1,0,0,0,0
31689,None,272.49,0.0,0.0,75,very low,1,0,0,0,0,0,0,0,1,0,0,0,0
3180,None,289.47,0.0,0.0,40,very low,4,0,0,0,0,0,0,0,1,0,0,0,0
27391,None,301.57,0.0,0.0,0,high,14,0,0,0,0,0,0,0,1,0,0,0,0
39626,None,257.03,0.0,0.0,1,very low,23,0,0,0,0,0,0,0,1,0,0,0,0
26786,None,280.74,0.0,0.0,1,high,6,0,0,0,0,0,0,0,1,0,0,0,0
37774,None,299.12,0.0,0.0,75,very low,10,0,0,0,0,0,0,0,1,0,0,0,0
16100,None,270.73,0.0,0.0,90,high,8,0,0,0,0,0,0,0,1,0,0,0,0
39492,None,279.36,0.0,0.0,75,high,14,0,0,0,0,0,0,0,1,0,0,0,0
23273,None,251.27,0.0,0.0,1,very low,2,0,0,0,0,0,0,0,1,0,0,0,0
32665,None,285.48,0.0,0.0,40,high,8,0,0,0,0,0,0,0,1,0,0,0,0
42674,None,298.59,0.0,0.0,0,very high,15,0,0,0,0,0,0,0,1,0,0,0,0
10632,None,291.68,0.0,0.0,1,medium,19,0,0,0,0,0,0,0,1,0,0,0,0
9331,None,266.55,0.0,0.0,75,very low,23,0,0,0,0,0,0,0,1,0,0,0,0
20846,None,304.775,0.0,0.0,8,very high,16,0,0,0,0,0,0,0,1,0,0,0,0
20934,None,291.72,0.0,0.0,1,very low,0,0,0,0,0,0,0,0,1,0,0,0,0
27303,None,266.14,0.0,0.0,40,high,11,0,0,0,0,0,0,0,1,0,0,0,0
33812,None,285.48,0.0,0.0,92,very low,3,0,0,0,0,0,0,0,1,0,0,0,0
41818,None,299.73,0.0,0.0,0,high,17,0,0,0,0,0,0,0,1,0,0,0,0
8923,None,270.49,0.0,0.0,90,low,21,0,0,0,0,0,0,0,1,0,0,0,0
36460,None,286.64,0.0,0.0,75,high,14,0,0,0,0,0,0,0,1,0,0,0,0
38629,None,270.15,0.0,0.0,90,high,17,0,0,0,0,0,0,0,1,0,0,0,0
35025,None,289.29,0.0,0.0,1,very low,3,0,0,0,0,0,0,0,1,0,0,0,0
664,None,290.06,0.0,0.0,1,high,6,0,0,0,0,0,0,0,1,0,0,0,0
484,None,271.087,0.0,0.0,0,very high,17,0,0,0,0,0,0,0,1,0,0,0,0
38775,None,292.51,0.25,0.0,90,low,9,0,0,0,0,0,0,0,1,0,0,0,0
5076,None,285.36,0.0,0.0,75,high,10,0,0,0,0,0,0,0,1,0,0,0,0
26374,None,259.81,0.0,0.0,1,high,9,0,0,0,0,0,0,0,1,0,0,0,0
8690,None,286.77,0.0,0.0,48,high,18,0,0,0,0,0,0,0,1,0,0,0,0
11097,None,302.93,0.0,0.0,1,very high,15,0,0,0,0,0,0,0,1,0,0,0,0
37366,None,286.83,0.0,0.0,90,very low,4,0,0,0,0,0,0,0,1,0,0,0,0
34327,None,291.2,0.51,0.0,90,very high,16,0,0,0,0,0,0,0,1,0,0,0,0
28556,None,283.33,1.55,0.0,90,very low,4,0,0,0,0,0,0,0,1,0,0,0,0
40839,None,281.09,0.0,0.0,1,very low,23,0,0,0,0,0,0,0,1,0,0,0,0
1738,None,293.71,0.0,0.0,90,high,13,0,0,0,0,0,0,0,1,0,0,0,0
32268,None,299.43,0.0,0.0,0,low,21,0,0,0,0,0,0,0,1,0,0,0,0
14036,None,294.14,0.0,0.0,12,very low,1,0,0,0,0,0,0,0,1,0,0,0,0
16247,None,279.26,0.0,0.0,46,medium,18,0,0,0,0,0,0,0,1,0,0,0,0
35857,None,271.52,0.0,0.0,75,medium,10,0,0,0,0,0,0,0,1,0,0,0,0
5467,None,291.23,0.0,0.0,1,very low,0,0,0,0,0,0,0,0,1,0,0,0,0
16961,None,288.5,0.0,0.0,1,medium,19,0,0,0,0,0,0,0,1,0,0,0,0
1540,None,276.29,0.0,0.0,90,low,22,0,0,0,0,0,0,0,1,0,0,0,0
13452,None,259.83,0.0,0.0,90,medium,18,0,0,0,0,0,0,0,1,0,0,0,0
31384,None,292.64,0.0,0.0,1,low,23,0,0,0,0,0,0,0,1,0,0,0,0
2958,None,294.69,0.0,0.0,20,high,12,0,0,0,0,0,0,0,1,0,0,0,0
6700,None,294.02,0.0,0.0,1,medium,19,0,0,0,0,0,0,0,1,0,0,0,0
32756,None,292.49,0.0,0.0,36,medium,19,0,0,0,0,0,0,0,1,0,0,0,0
1122,None,277.65,0.0,0.0,90,very high,16,0,0,0,0,0,0,0,1,0,0,0,0
40432,None,280.38,0.0,0.0,1,very low,23,0,0,0,0,0,0,0,1,0,0,0,0
41484,None,269.88,0.0,0.0,1,high,11,0,0,0,0,0,0,0,1,0,0,0,0
7100,None,297.59,0.0,0.0,40,high,12,0,0,0,0,0,0,0,1,0,0,0,0
7652,None,286.62,0.0,0.0,5,high,17,0,0,0,0,0,0,0,1,0,0,0,0
8892,None,268.9,0.0,0.0,64,very low,5,0,0,0,0,0,0,0,1,0,0,0,0
3013,None,285.36,0.0,0.0,90,very low,3,0,0,0,0,0,0,0,1,0,0,0,0
3653,None,282.53,0.0,0.0,1,very low,2,0,0,0,0,0,0,0,1,0,0,0,0
14812,None,273.36,0.0,0.0,90,high,15,0,0,0,0,0,0,0,1,0,0,0,0
34023,None,297.32,0.0,0.0,75,medium,20,0,0,0,0,0,0,0,1,0,0,0,0
15953,None,280.5,0.0,0.0,1,high,8,0,0,0,0,0,0,0,1,0,0,0,0
14655,None,284.36,1.04,0.0,92,medium,18,0,0,0,0,0,0,0,1,0,0,0,0
36354,None,256.95,0.0,0.0,1,very low,2,0,0,0,0,0,0,0,1,0,0,0,0
13800,None,295.36,0.0,0.0,40,very high,8,0,0,0,0,0,0,0,1,0,0,0,0
35032,None,269.06,0.0,0.0,64,low,7,0,0,0,0,0,0,0,1,0,0,0,0
20516,None,289.44,0.0,0.0,1,high,16,0,0,0,0,0,0,0,1,0,0,0,0
15232,None,268.87,0.0,0.0,1,very low,2,0,0,0,0,0,0,0,1,0,0,0,0
6943,None,281.76,0.0,0.0,1,low,5,0,0,0,0,0,0,0,1,0,0,0,0
15981,None,287.37,0.0,0.0,1,very low,3,0,0,0,0,0,0,0,1,0,0,0,0
18636,None,285.86,0.0,0.0,1,very low,6,0,0,0,0,0,0,0,1,0,0,0,0
25998,None,299.08,0.0,0.0,1,high,13,0,0,0,0,0,0,0,1,0,0,0,0
7840,None,285.15,0.0,0.0,90,very low,2,0,0,0,0,0,0,0,1,0,0,0,0
17561,None,272.9,0.0,0.0,90,high,17,0,0,0,0,0,0,0,1,0,0,0,0
15594,None,290.6,0.0,0.0,1,low,5,0,0,0,0,0,0,0,1,0,0,0,0
26159,None,285.16,0.0,0.0,90,high,14,0,0,0,0,0,0,0,1,0,0,0,0
36088,None,255.09,0.0,0.0,1,low,19,0,0,0,0,0,0,0,1,0,0,0,0
32773,None,269.13,0.0,0.0,40,high,10,0,0,0,0,0,0,0,1,0,0,0,0
21853,None,289.58,0.0,0.0,1,very low,3,0,0,0,0,0,0,0,1,0,0,0,0
37409,None,297.69,1.02,0.0,92,medium,17,0,0,0,0,0,0,0,1,0,0,0,0
16366,None,280.95,0.0,0.0,90,high,10,0,0,0,0,0,0,0,1,0,0,0,0
13889,None,248.73,0.0,0.0,75,very low,6,0,0,0,0,0,0,0,1,0,0,0,0
33673,None,286.53,0.0,0.0,12,high,15,0,0,0,0,0,0,0,1,0,0,0,0
14771,None,261.27,0.0,0.0,90,high,6,0,0,0,0,0,0,0,1,0,0,0,0
23304,None,281.51,0.0,0.0,1,very low,2,0,0,0,0,0,0,0,1,0,0,0,0
25374,None,265.12,0.0,0.0,1,medium,11,0,0,0,0,0,0,0,1,0,0,0,0
15268,None,293.91,0.0,0.0,20,very low,1,0,0,0,0,0,0,0,1,0,0,0,0
32806,None,281.1,0.0,0.0,75,very low,1,0,0,0,0,0,0,0,1,0,0,0,0
20406,None,262.18,0.0,0.0,90,high,16,0,0,0,0,0,0,0,1,0,0,0,0
15486,None,291.69,0.0,0.0,100,medium,19,0,0,0,0,0,0,0,1,0,0,0,0
30769,None,272.62,0.0,0.0,1,very low,5,0,0,0,0,0,0,0,1,0,0,0,0
36965,None,295.53,0.0,0.0,12,high,15,0,0,0,0,0,0,0,1,0,0,0,0
14073,None,291.15,0.0,0.0,40,medium,5,0,0,0,0,0,0,0,1,0,0,0,0
12591,None,275.02,0.0,0.0,90,medium,5,0,0,0,0,0,0,0,1,0,0,0,0
8543,None,272.08,0.0,0.0,90,medium,15,0,0,0,0,0,0,0,1,0,0,0,0
27889,None,255.71,0.0,0.0,40,high,10,0,0,0,0,0,0,0,1,0,0,0,0
10323,None,274.17,0.38,0.0,90,very high,16,0,0,0,0,0,0,0,1,0,0,0,0
10285,None,289.81,0.3,0.0,40,low,19,0,0,0,0,0,0,0,1,0,0,0,0
25687,None,293.25,0.25,0.0,75,high,8,0,0,0,0,0,0,0,1,0,0,0,0
24062,None,273.38,0.0,0.0,20,medium,19,0,0,0,0,0,0,0,1,0,0,0,0
36243,None,298.32,0.0,0.0,40,medium,10,0,0,0,0,0,0,0,1,0,0,0,0
5357,None,296.01,0.0,0.0,20,high,12,0,0,0,0,0,0,0,1,0,0,0,0
17807,None,292.8,0.0,0.0,20,low,21,0,0,0,0,0,0,0,1,0,0,0,0
24412,None,275.85,0.0,0.0,90,high,14,0,0,0,0,0,0,0,1,0,0,0,0
22507,None,270.34,0.0,0.0,90,very low,1,0,0,0,0,0,0,0,1,0,0,0,0
5331,None,279.22,0.0,0.0,91,high,8,0,0,0,0,0,0,0,1,0,0,0,0
25811,None,276.793,0.0,0.0,64,high,11,0,0,0,0,0,0,0,1,0,0,0,0
13144,None,281.23,0.0,0.0,90,very low,1,0,0,0,0,0,0,0,1,0,0,0,0
1166,None,294.29,0.0,0.0,90,high,12,0,0,0,0,0,0,0,1,0,0,0,0
35580,None,269.6,0.0,0.0,90,low,5,0,0,0,0,0,0,0,1,0,0,0,0
34870,None,294.81,0.0,0.0,0,medium,18,0,0,0,0,0,0,0,1,0,0,0,0
20795,None,286.71,1.84,0.0,92,very high,7,0,0,0,0,0,0,0,1,0,0,0,0
11099,None,284.6,0.0,0.0,40,low,22,0,0,0,0,0,0,0,1,0,0,0,0
32501,None,275.75,0.0,0.0,1,medium,9,0,0,0,0,0,0,0,1,0,0,0,0
18167,None,285.64,0.0,0.0,1,high,18,0,0,0,0,0,0,0,1,0,0,0,0
15400,None,279.56,0.0,0.0,90,very low,0,0,0,0,0,0,0,0,1,0,0,0,0
38440,None,270.8,0.0,0.0,90,very low,2,0,0,0,0,0,0,0,1,0,0,0,0
41785,None,300.28,0.0,0.0,40,high,14,0,0,0,0,0,0,0,1,0,0,0,0
15547,None,265.47,0.0,0.0,90,medium,19,0,0,0,0,0,0,0,1,0,0,0,0
28010,None,285.4,0.0,0.0,92,low,23,0,0,0,0,0,0,0,1,0,0,0,0
6187,None,299.78,0.0,0.0,90,medium,14,0,0,0,0,0,0,0,1,0,0,0,0
10968,None,291.61,0.0,0.0,1,very low,2,0,0,0,0,0,0,0,1,0,0,0,0
39892,None,281.21,0.0,0.0,76,medium,19,0,0,0,0,0,0,0,1,0,0,0,0
18338,None,293.88,0.0,0.0,1,medium,15,0,0,0,0,0,0,0,1,0,0,0,0
34665,None,294.49,0.25,0.0,1,very low,1,0,0,0,0,0,0,0,1,0,0,0,0
1366,None,291.15,0.0,0.0,1,very low,3,0,0,0,0,0,0,0,1,0,0,0,0
23969,None,281.55,0.0,0.0,40,very low,7,0,0,0,0,0,0,0,1,0,0,0,0
28119,None,293.16,0.0,0.0,90,very low,2,0,0,0,0,0,0,0,1,0,0,0,0
40171,None,284.15,0.0,0.0,1,very low,3,0,0,0,0,0,0,0,1,0,0,0,0
24903,None,295.22,0.0,0.0,40,high,12,0,0,0,0,0,0,0,1,0,0,0,0
33667,None,270.29,0.0,0.0,1,low,22,0,0,0,0,0,0,0,1,0,0,0,0
980,None,298.04,0.0,0.0,1,medium,19,0,0,0,0,0,0,0,1,0,0,0,0
6760,None,274.08,0.0,0.0,90,low,8,0,0,0,0,0,0,0,1,0,0,0,0
11090,None,285.03,0.0,0.0,90,high,15,0,0,0,0,0,0,0,1,0,0,0,0
19223,None,284.44,0.0,0.0,90,very low,1,0,0,0,0,0,0,0,1,0,0,0,0
40292,None,275.43,0.0,0.0,75,medium,8,0,0,0,0,0,0,0,1,0,0,0,0
15356,None,287.83,0.0,0.0,1,high,13,0,0,0,0,0,0,0,1,0,0,0,0
31206,None,289.29,0.0,0.0,90,low,20,0,0,0,0,0,0,0,1,0,0,0,0
17051,None,287.03,0.0,0.0,1,low,19,0,0,0,0,0,0,0,1,0,0,0,0
10874,None,270.37,0.0,0.0,1,very low,0,0,0,0,0,0,0,0,1,0,0,0,0
26550,None,301.73,0.0,0.0,0,high,17,0,0,0,0,0,0,0,1,0,0,0,0
14238,None,275.75,0.0,0.0,1,very low,6,0,0,0,0,0,0,0,1,0,0,0,0
35713,None,260.79,0.25,0.0,64,very low,22,0,0,0,0,0,0,0,1,0,0,0,0
35378,None,284.1,0.0,0.0,90,very low,2,0,0,0,0,0,0,0,1,0,0,0,0
42143,None,254.49,0.0,0.0,90,very low,2,0,0,0,0,0,0,0,1,0,0,0,0
3058,None,251.13,0.0,0.0,1,high,16,0,0,0,0,0,0,0,1,0,0,0,0
9021,None,289.12,0.3,0.0,75,very low,3,0,0,0,0,0,0,0,1,0,0,0,0
13964,None,268.86,0.0,0.0,90,very low,22,0,0,0,0,0,0,0,1,0,0,0,0
34506,None,287.48,0.0,0.0,40,medium,19,0,0,0,0,0,0,0,1,0,0,0,0
2735,None,285.85,0.0,0.0,75,high,12,0,0,0,0,0,0,0,1,0,0,0,0
24039,None,272.69,0.0,0.0,20,high,6,0,0,0,0,0,0,0,1,0,0,0,0
19471,None,272.94,0.0,0.0,90,high,6,0,0,0,0,0,0,0,1,0,0,0,0
43316,None,281.15,0.0,0.0,1,very low,2,0,0,0,0,0,0,0,1,0,0,0,0
25677,None,279.47,0.0,0.0,1,very low,0,0,0,0,0,0,0,0,1,0,0,0,0
28507,None,265.46,0.0,0.0,75,high,7,0,0,0,0,0,0,0,1,0,0,0,0
29391,None,294.44,0.0,0.0,90,high,17,0,0,0,0,0,0,0,1,0,0,0,0
23604,None,267.89,0.0,0.0,90,high,18,0,0,0,0,0,0,0,1,0,0,0,0
34963,None,292.64,0.0,0.0,1,low,21,0,0,0,0,0,0,0,1,0,0,0,0
19847,None,271.15,0.0,0.0,1,very high,7,0,0,0,0,0,0,0,1,0,0,0,0
41419,None,254.73,0.0,0.0,1,high,6,0,0,0,0,0,0,0,1,0,0,0,0
5160,None,281.43,0.0,0.0,75,very high,13,0,0,0,0,0,0,0,1,0,0,0,0
8612,None,299.18,0.0,0.0,1,medium,18,0,0,0,0,0,0,0,1,0,0,0,0
25719,None,283.29,0.0,0.0,75,medium,19,0,0,0,0,0,0,0,1,0,0,0,0
1618,None,294.94,0.0,0.0,1,high,13,0,0,0,0,0,0,0,1,0,0,0,0
36773,None,274.43,0.0,0.0,90,medium,19,0,0,0,0,0,0,0,1,0,0,0,0
42620,None,290.56,0.25,0.0,1,high,10,0,0,0,0,0,0,0,1,0,0,0,0
39513,None,292.35,0.0,0.0,20,very low,2,0,0,0,0,0,0,0,1,0,0,0,0
42992,None,292.08,0.0,0.0,75,low,9,0,0,0,0,0,0,0,1,0,0,0,0
28868,None,264.66,0.0,0.0,1,very low,23,0,0,0,0,0,0,0,1,0,0,0,0
33938,None,277.41,0.0,0.0,90,high,15,0,0,0,0,0,0,0,1,0,0,0,0
33634,None,280.86,0.0,0.0,90,very low,0,0,0,0,0,0,0,0,1,0,0,0,0
16842,None,285.07,0.0,0.0,90,very low,4,0,0,0,0,0,0,0,1,0,0,0,0
25211,None,289.79,0.0,0.0,75,medium,5,0,0,0,0,0,0,0,1,0,0,0,0
9003,None,263.0,0.0,0.0,1,low,5,0,0,0,0,0,0,0,1,0,0,0,0
38929,None,288.69,0.0,0.0,40,high,17,0,0,0,0,0,0,0,1,0,0,0,0
26857,None,288.43,0.0,0.0,1,very low,3,0,0,0,0,0,0,0,1,0,0,0,0
5348,None,283.43,0.0,0.0,90,very low,0,0,0,0,0,0,0,0,1,0,0,0,0
25406,None,268.85,0.0,0.0,90,medium,7,0,0,0,0,0,0,0,1,0,0,0,0
25452,None,296.38,0.0,0.0,75,medium,14,0,0,0,0,0,0,0,1,0,0,0,0
8416,None,269.43,0.0,0.0,90,very low,2,0,0,0,0,0,0,0,1,0,0,0,0
790,None,267.05,0.0,0.0,90,very low,0,0,0,0,0,0,0,0,1,0,0,0,0
24407,None,302.15,0.0,0.0,1,high,12,0,0,0,0,0,0,0,1,0,0,0,0
38133,None,286.71,0.0,0.0,90,very low,3,0,0,0,0,0,0,0,1,0,0,0,0
28597,None,282.97,0.68,0.0,90,low,21,0,0,0,0,0,0,0,1,0,0,0,0
38882,None,291.75,0.0,0.0,90,high,12,0,0,0,0,0,0,0,1,0,0,0,0
42406,None,275.02,0.0,0.0,90,low,8,0,0,0,0,0,0,0,1,0,0,0,0
20643,None,276.79,0.0,0.0,90,very low,7,0,0,0,0,0,0,0,1,0,0,0,0
30968,None,263.71,0.0,0.0,64,very low,8,0,0,0,0,0,0,0,1,0,0,0,0
12967,None,287.95,0.0,0.0,90,medium,9,0,0,0,0,0,0,0,1,0,0,0,0
39435,None,277.01,0.0,0.0,75,medium,21,0,0,0,0,0,0,0,1,0,0,0,0
42127,None,273.51,0.0,0.0,1,very low,0,0,0,0,0,0,0,0,1,0,0,0,0
27969,None,268.4,0.0,0.0,90,very high,16,0,0,0,0,0,0,0,1,0,0,0,0
41335,None,253.33,0.0,0.0,85,high,13,0,0,0,0,0,0,0,1,0,0,0,0
37381,None,264.55,0.0,0.0,90,very low,7,0,0,0,0,0,0,0,1,0,0,0,0
25085,None,267.44,0.0,0.0,90,high,6,0,0,0,0,0,0,0,1,0,0,0,0
3069,None,284.35,0.0,0.0,90,low,21,0,0,0,0,0,0,0,1,0,0,0,0
16969,None,280.82,0.0,0.0,1,high,6,0,0,0,0,0,0,0,1,0,0,0,0
